H1-O1 	H1-O2 	H1-O3 	H2-O1 	H2-O2 	H2-O3 	H3-O1 	H3-O2 	H3-O3 	H4-O1 	H4-O2 	H4-O3 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	
   29	   23	    6	  -11	  -12	   25	  -13	   19	  -11	   -1	  -25	  -17	   10	    4	    0	   -5	   -5	   -2	    2	    0	    0	    6	   -2	    1	  -10	    5	    0	    2	   -3	   -9	    6	    3	    3	   -4	   -6	    6	    3	   -5	    4	    0	
   29	   22	    6	  -11	  -11	   24	  -12	   17	  -10	    0	  -24	  -17	   10	    4	   -1	   -4	   -5	   -3	    1	    0	    0	    6	   -2	    0	  -10	    4	    0	    1	   -2	   -9	    5	    4	    3	   -5	   -6	    6	    4	   -5	    4	   -1	
   28	   21	    6	  -11	  -12	   23	  -12	   18	  -10	   -1	  -23	  -17	    9	    4	    0	   -4	   -5	   -3	    2	    0	    1	    7	   -1	    1	   -9	    5	    0	    1	   -2	   -9	    5	    3	    3	   -4	   -6	    6	    4	   -5	    4	    0	
   27	   20	    6	  -10	  -11	   23	  -12	   17	  -10	    0	  -23	  -16	    9	    4	    0	   -4	   -4	   -2	    2	    0	    0	    6	   -2	    0	   -9	    5	    0	    1	   -3	   -8	    5	    3	    2	   -5	   -6	    5	    3	   -5	    4	    0	
   26	   20	    6	  -10	  -11	   22	  -11	   16	   -9	   -1	  -22	  -16	    9	    3	    0	   -4	   -5	   -2	    1	   -1	    0	    5	   -2	    0	   -9	    4	    1	    2	   -2	   -9	    5	    3	    3	   -4	   -6	    6	    3	   -4	    4	   -1	
   26	   19	    5	  -10	  -10	   22	  -11	   16	  -10	    0	  -21	  -15	    8	    4	    0	   -4	   -4	   -3	    2	    0	    0	    6	   -1	    1	   -9	    4	    0	    1	   -2	   -8	    5	    4	    3	   -4	   -5	    5	    3	   -5	    4	    0	
   25	   19	    5	   -9	  -10	   21	  -11	   16	   -9	   -1	  -21	  -15	    9	    3	    0	   -4	   -4	   -2	    1	    0	    0	    5	   -2	    0	   -8	    4	    0	    1	   -2	   -7	    5	    3	    2	   -4	   -5	    5	    4	   -4	    3	    0	
   24	   19	    6	  -10	  -10	   20	  -11	   15	   -8	    0	  -21	  -14	    8	    4	    0	   -3	   -4	   -2	    2	    0	    1	    6	   -1	    1	   -8	    4	    0	    1	   -2	   -8	    4	    2	    3	   -4	   -5	    5	    3	   -4	    4	    0	
   24	   18	    5	   -9	   -9	   20	  -10	   15	   -9	   -1	  -20	  -14	    7	    3	    0	   -4	   -4	   -2	    1	    0	    0	    5	   -2	    0	   -8	    4	    0	    1	   -2	   -7	    5	    3	    2	   -4	   -5	    5	    3	   -4	    3	   -1	
   23	   17	    5	   -8	  -10	   20	  -10	   15	   -8	    0	  -19	  -14	    8	    3	    0	   -3	   -4	   -2	    1	    0	    0	    5	   -1	    0	   -8	    4	    0	    1	   -2	   -8	    4	    3	    2	   -3	   -5	    4	    2	   -4	    4	    0	
   22	   17	    4	   -9	   -9	   19	  -10	   14	   -8	   -1	  -19	  -13	    7	    3	    0	   -4	   -4	   -2	    2	    0	    0	    5	   -2	    1	   -7	    3	    1	    1	   -2	   -7	    4	    3	    2	   -4	   -5	    5	    3	   -4	    3	    0	
   22	   17	    5	   -8	   -9	   19	   -9	   14	   -8	    0	  -18	  -13	    8	    3	    0	   -3	   -4	   -2	    1	    0	    0	    5	   -1	    0	   -7	    4	    0	    1	   -1	   -7	    4	    2	    3	   -3	   -5	    4	    3	   -4	    3	    0	
   22	   16	    5	   -9	   -8	   18	   -9	   13	   -8	   -1	  -19	  -13	    7	    3	    0	   -3	   -3	   -2	    1	    0	    1	    4	   -1	    1	   -8	    4	    0	    1	   -2	   -6	    4	    3	    2	   -4	   -4	    5	    3	   -4	    3	   -1	
   21	   16	    4	   -8	   -9	   18	  -10	   14	   -8	    0	  -17	  -13	    7	    3	    0	   -3	   -4	   -2	    1	    0	    0	    5	   -2	    0	   -6	    3	    0	    1	   -2	   -7	    4	    3	    2	   -3	   -5	    4	    2	   -3	    3	    0	
   20	   15	    4	   -7	   -8	   17	   -8	   13	   -7	    0	  -18	  -12	    6	    3	    0	   -3	   -3	   -2	    1	    0	    0	    4	   -1	    0	   -7	    3	    0	    1	   -1	   -6	    4	    2	    2	   -3	   -4	    4	    3	   -4	    3	    0	
   21	   15	    5	   -8	   -8	   17	   -9	   13	   -8	   -1	  -17	  -12	    7	    3	    0	   -3	   -4	   -2	    2	    0	    0	    5	   -1	    1	   -7	    4	    0	    1	   -2	   -6	    3	    2	    2	   -4	   -4	    4	    2	   -3	    3	    0	
   19	   15	    4	   -8	   -8	   17	   -9	   12	   -7	    0	  -16	  -12	    6	    2	    0	   -3	   -3	   -1	    1	    0	    0	    4	   -1	    0	   -6	    3	    0	    0	   -2	   -6	    4	    3	    2	   -3	   -5	    4	    3	   -4	    3	   -1	
   20	   15	    4	   -7	   -8	   17	   -8	   12	   -7	   -1	  -17	  -12	    6	    3	   -1	   -3	   -3	   -2	    1	   -1	    0	    4	   -2	    0	   -7	    3	    0	    1	   -1	   -6	    3	    2	    2	   -3	   -4	    4	    2	   -3	    3	    0	
   19	   14	    4	   -7	   -7	   16	   -8	   12	   -7	    0	  -15	  -11	    7	    2	    0	   -3	   -3	   -2	    1	    0	    0	    4	   -1	    0	   -6	    3	    0	    1	   -2	   -6	    4	    2	    2	   -3	   -4	    3	    2	   -3	    3	    0	
   18	   14	    4	   -7	   -8	   15	   -8	   12	   -6	   -1	  -16	  -11	    6	    3	    0	   -3	   -3	   -1	    1	    0	    1	    4	   -1	    1	   -6	    3	    0	    1	   -1	   -6	    3	    3	    1	   -3	   -4	    4	    3	   -3	    3	    0	
   18	   14	    4	   -7	   -7	   16	   -8	   12	   -7	    0	  -15	  -11	    5	    2	    0	   -3	   -3	   -2	    1	    0	    0	    4	   -1	    0	   -6	    3	    1	    1	   -2	   -5	    3	    2	    2	   -3	   -4	    4	    2	   -3	    2	    0	
   18	   13	    4	   -7	   -7	   15	   -8	   11	   -6	    0	  -16	  -11	    6	    3	    0	   -2	   -3	   -1	    1	    0	    0	    4	   -1	    0	   -6	    3	    0	    0	   -1	   -6	    4	    2	    2	   -2	   -3	    3	    2	   -4	    3	    0	
   18	   13	    3	   -7	   -7	   15	   -8	   11	   -7	   -1	  -14	  -10	    6	    2	    0	   -3	   -3	   -2	    1	    0	    0	    4	   -1	    1	   -5	    2	    0	    1	   -2	   -5	    3	    2	    2	   -3	   -4	    4	    2	   -2	    2	   -1	
   17	   13	    4	   -6	   -7	   15	   -7	   11	   -6	    0	  -15	  -10	    5	    2	    0	   -2	   -3	   -1	    1	    0	    0	    4	   -1	    0	   -6	    3	    0	    1	   -1	   -6	    3	    2	    1	   -3	   -4	    3	    2	   -3	    3	    0	
   17	   13	    3	   -7	   -7	   14	   -8	   11	   -6	   -1	  -14	  -10	    6	    3	    0	   -3	   -3	   -2	    1	    0	    0	    3	   -1	    0	   -6	    3	    0	    1	   -1	   -5	    3	    2	    2	   -2	   -3	    4	    2	   -3	    3	    0	
   17	   12	    4	   -6	   -6	   14	   -7	   11	   -6	    0	  -14	  -10	    5	    2	    0	   -2	   -2	   -1	    1	    0	    0	    4	   -1	    1	   -5	    3	    0	    0	   -2	   -5	    3	    2	    2	   -3	   -4	    3	    2	   -3	    2	    0	
   16	   12	    3	   -6	   -7	   14	   -7	   10	   -6	    0	  -14	  -10	    5	    2	    0	   -3	   -3	   -2	    1	    0	    1	    3	   -1	    0	   -5	    2	    0	    1	   -1	   -5	    3	    2	    1	   -3	   -3	    3	    2	   -3	    2	    0	
   16	   12	    4	   -6	   -6	   14	   -7	   10	   -6	   -1	  -14	  -10	    5	    2	    0	   -2	   -3	   -1	    1	    0	    0	    4	   -1	    0	   -5	    3	    0	    1	   -1	   -5	    3	    2	    2	   -2	   -4	    3	    2	   -2	    3	    0	
   16	   12	    3	   -6	   -7	   14	   -7	   11	   -6	    0	  -13	   -9	    5	    2	    0	   -2	   -2	   -1	    0	    0	    0	    3	   -1	    0	   -5	    2	    0	    0	   -2	   -4	    2	    2	    1	   -3	   -3	    3	    2	   -3	    2	   -1	
   15	   12	    3	   -6	   -6	   13	   -7	   10	   -5	   -1	  -13	  -10	    5	    2	    0	   -3	   -3	   -2	    1	    0	    0	    4	   -1	    1	   -5	    3	    0	    1	   -1	   -5	    3	    2	    2	   -2	   -3	    3	    2	   -3	    2	    0	
   16	   11	    4	   -6	   -6	   13	   -6	    9	   -6	    0	  -13	   -9	    5	    2	    0	   -2	   -2	   -1	    1	    0	    0	    3	   -1	    0	   -5	    2	    0	    1	   -1	   -5	    3	    2	    1	   -3	   -3	    3	    2	   -2	    3	    0	
   15	   11	    3	   -6	   -6	   13	   -7	   10	   -5	    0	  -13	   -9	    5	    2	    0	   -2	   -3	   -1	    1	    0	    0	    3	   -1	    0	   -5	    2	    0	    0	   -1	   -4	    3	    2	    2	   -2	   -4	    3	    2	   -3	    2	    0	
   15	   11	    3	   -6	   -6	   12	   -6	    9	   -6	   -1	  -12	   -9	    5	    2	    0	   -2	   -2	   -2	    1	    0	    0	    3	   -1	    0	   -5	    3	    0	    1	   -1	   -5	    2	    1	    1	   -2	   -3	    3	    2	   -2	    2	    0	
   14	   11	    3	   -5	   -5	   13	   -7	   10	   -5	    0	  -12	   -8	    4	    2	   -1	   -3	   -3	   -1	    1	    0	    0	    3	    0	    1	   -5	    2	    0	    1	   -2	   -4	    3	    2	    1	   -3	   -3	    3	    1	   -3	    2	    0	
   15	   11	    3	   -6	   -6	   12	   -6	    9	   -5	    0	  -13	   -9	    5	    2	    0	   -2	   -2	   -1	    0	    0	    0	    3	   -1	    0	   -4	    2	    0	    0	   -1	   -4	    2	    2	    2	   -2	   -3	    3	    2	   -2	    3	    0	
   14	   11	    3	   -5	   -6	   12	   -6	    9	   -5	   -1	  -11	   -8	    4	    2	    0	   -2	   -2	   -1	    1	    0	    1	    3	   -1	    0	   -5	    3	    0	    1	   -1	   -5	    3	    1	    1	   -2	   -3	    2	    2	   -2	    2	    0	
   14	   10	    3	   -5	   -5	   12	   -6	    9	   -5	    0	  -12	   -9	    5	    2	    0	   -2	   -2	   -2	    1	    0	    0	    3	   -1	    0	   -4	    2	    0	    0	   -1	   -4	    2	    2	    1	   -2	   -3	    3	    1	   -3	    2	   -1	
   13	   10	    3	   -5	   -5	   12	   -6	    9	   -5	    0	  -12	   -8	    4	    2	    0	   -2	   -3	   -1	    1	    0	    0	    3	   -1	    1	   -5	    2	    0	    1	   -1	   -4	    3	    2	    2	   -2	   -3	    3	    2	   -2	    2	    0	
   14	   10	    3	   -6	   -6	   12	   -6	    9	   -5	   -1	  -11	   -8	    4	    2	    0	   -2	   -2	   -1	    0	    0	    0	    3	    0	    0	   -4	    2	    0	    0	   -1	   -4	    2	    1	    1	   -2	   -2	    2	    2	   -2	    2	    0	
   13	   10	    2	   -5	   -5	   11	   -6	    8	   -5	    0	  -12	   -8	    4	    1	    0	   -2	   -2	   -1	    1	    0	    0	    3	   -1	    0	   -4	    2	    0	    1	   -1	   -4	    2	    2	    1	   -3	   -3	    3	    1	   -2	    2	    0	
   14	   10	    3	   -5	   -5	   11	   -6	    9	   -5	   -1	  -11	   -8	    4	    2	    0	   -2	   -2	   -1	    1	    0	    0	    3	   -1	    0	   -4	    2	    0	    1	   -1	   -4	    3	    2	    2	   -2	   -3	    3	    2	   -3	    2	    0	
   13	   10	    3	   -5	   -5	   11	   -6	    8	   -5	    0	  -11	   -8	    5	    2	    0	   -2	   -2	   -1	    1	    0	    0	    2	   -1	    0	   -4	    2	    0	    0	   -1	   -4	    2	    1	    1	   -2	   -3	    2	    2	   -2	    2	    0	
   12	    9	    3	   -5	   -5	   11	   -5	    8	   -4	    0	  -10	   -8	    4	    2	    0	   -2	   -2	   -1	    0	    0	    0	    3	    0	    1	   -5	    2	    0	    1	   -1	   -4	    2	    2	    1	   -2	   -2	    3	    1	   -2	    2	    0	
   13	   10	    2	   -4	   -5	   11	   -6	    8	   -5	   -1	  -11	   -7	    4	    1	    0	   -1	   -2	   -1	    1	    0	    0	    3	   -1	    0	   -4	    2	    0	    0	   -1	   -4	    2	    1	    1	   -2	   -3	    2	    2	   -2	    2	    0	
   13	    9	    3	   -5	   -5	   11	   -5	    8	   -4	    0	  -11	   -8	    3	    2	    0	   -2	   -2	   -1	    1	    0	    0	    3	   -1	    0	   -3	    2	    0	    1	   -1	   -3	    3	    2	    1	   -2	   -3	    2	    1	   -2	    1	    0	
   12	    9	    2	   -5	   -5	   11	   -6	    8	   -5	    0	  -10	   -7	    4	    1	    0	   -2	   -2	   -1	    0	    0	    0	    2	   -1	    0	   -4	    2	    0	    0	   -1	   -4	    2	    1	    2	   -1	   -2	    3	    2	   -2	    2	   -1	
   12	    9	    3	   -4	   -5	   10	   -5	    8	   -4	   -1	  -10	   -7	    4	    2	    0	   -2	   -2	   -2	    1	    0	    0	    3	    0	    0	   -4	    2	    0	    1	   -1	   -4	    2	    2	    1	   -2	   -3	    2	    1	   -2	    2	    0	
   12	    9	    2	   -5	   -4	   10	   -5	    8	   -5	    0	  -11	   -8	    4	    2	    0	   -2	   -2	   -1	    0	    0	    1	    2	   -1	    1	   -4	    2	    0	    0	   -1	   -3	    2	    1	    1	   -2	   -2	    2	    1	   -2	    2	    0	
   12	    9	    3	   -4	   -5	   10	   -5	    8	   -4	    0	  -10	   -7	    3	    1	    0	   -1	   -2	   -1	    1	    1	    0	    3	   -1	    0	   -4	    1	    0	    1	   -1	   -4	    2	    1	    1	   -2	   -3	    3	    2	   -2	    2	    0	
   12	    8	    2	   -5	   -5	   11	   -5	    7	   -4	   -1	   -9	   -7	    4	    2	    0	   -2	   -2	    0	    1	    0	    0	    2	    0	    0	   -3	    2	    0	    0	   -1	   -3	    2	    2	    1	   -2	   -2	    2	    1	   -2	    1	    0	
   11	    9	    3	   -4	   -4	    9	   -6	    8	   -4	    0	  -10	   -7	    4	    1	    0	   -2	   -2	   -1	    0	    0	    0	    3	   -1	    0	   -4	    2	    0	    1	   -1	   -4	    2	    1	    1	   -2	   -3	    2	    2	   -2	    2	    0	
   12	    8	    2	   -5	   -5	   10	   -5	    7	   -5	    0	  -10	   -7	    3	    2	    0	   -1	   -2	   -1	    1	    0	    0	    2	   -1	    0	   -4	    2	    0	    0	   -1	   -3	    2	    2	    1	   -1	   -2	    2	    1	   -2	    2	    0	
   11	    9	    2	   -4	   -4	   10	   -5	    7	   -4	   -1	   -9	   -6	    4	    1	   -1	   -2	   -1	   -1	    1	    0	    0	    2	    0	    1	   -3	    2	    0	    0	   -1	   -3	    2	    1	    1	   -2	   -2	    2	    1	   -1	    2	    0	
   11	    8	    3	   -4	   -4	   10	   -4	    7	   -4	    0	  -10	   -7	    3	    2	    0	   -2	   -2	   -1	    0	    0	    0	    3	   -1	    0	   -4	    1	    0	    1	   -1	   -4	    2	    1	    1	   -2	   -3	    3	    2	   -2	    1	    0	
   11	    8	    2	   -4	   -5	    9	   -5	    8	   -4	    0	   -9	   -7	    4	    1	    0	   -1	   -2	   -1	    1	    0	    0	    2	    0	    0	   -3	    2	    0	    0	    0	   -3	    2	    2	    1	   -2	   -2	    2	    1	   -2	    2	    0	
   11	    8	    2	   -5	   -4	    9	   -5	    7	   -4	    0	   -9	   -6	    3	    2	    0	   -2	   -2	   -1	    0	    0	    0	    2	   -1	    0	   -4	    2	    0	    1	   -1	   -3	    2	    1	    1	   -1	   -2	    2	    1	   -2	    2	    0	
   11	    8	    3	   -4	   -4	   10	   -5	    7	   -4	   -1	  -10	   -7	    3	    1	    0	   -1	   -1	   -1	    1	    0	    0	    3	   -1	    0	   -3	    1	    0	    0	   -1	   -3	    2	    1	    1	   -2	   -3	    2	    2	   -2	    1	   -1	
   11	    8	    2	   -4	   -4	    9	   -4	    7	   -4	    0	   -9	   -6	    4	    1	    0	   -2	   -2	   -1	    0	    0	    0	    2	    0	    1	   -3	    2	    0	    1	   -1	   -3	    1	    1	    1	   -2	   -2	    2	    1	   -1	    2	    0	
   10	    8	    2	   -4	   -4	    9	   -5	    6	   -3	    0	   -8	   -6	    3	    2	    0	   -2	   -2	   -1	    1	    0	    0	    2	   -1	    0	   -4	    2	    0	    0	   -1	   -4	    2	    2	    1	   -1	   -2	    2	    1	   -2	    1	    0	
   11	    8	    2	   -4	   -4	    9	   -5	    7	   -4	   -1	   -9	   -7	    3	    1	    0	   -1	   -1	   -1	    1	    0	    0	    2	    0	    0	   -3	    1	    0	    1	   -1	   -3	    2	    1	    1	   -2	   -2	    2	    1	   -2	    2	    0	
   10	    7	    2	   -4	   -4	    9	   -4	    7	   -4	    0	   -9	   -6	    3	    1	    0	   -2	   -2	   -1	    0	    0	    1	    2	   -1	    0	   -3	    2	    0	    0	    0	   -3	    2	    1	    1	   -2	   -2	    2	    1	   -1	    2	    0	
   10	    8	    2	   -3	   -4	    9	   -5	    6	   -4	    0	   -9	   -6	    3	    2	    0	   -1	   -2	    0	    1	    0	    0	    2	   -1	    0	   -3	    1	    0	    0	   -1	   -3	    2	    1	    1	   -1	   -2	    2	    2	   -2	    1	    0	
   10	    7	    3	   -4	   -4	    8	   -4	    7	   -3	   -1	   -8	   -6	    3	    1	    0	   -2	   -1	   -1	    0	    0	    0	    3	    0	    0	   -3	    2	    0	    1	   -1	   -3	    1	    2	    1	   -2	   -3	    2	    1	   -2	    2	    0	
   10	    8	    2	   -4	   -4	    9	   -4	    6	   -4	    0	   -9	   -6	    3	    1	    0	   -1	   -2	   -1	    1	    0	    0	    2	   -1	    1	   -3	    1	    0	    0	   -1	   -3	    2	    1	    1	   -1	   -2	    1	    1	   -1	    1	    0	
   10	    7	    2	   -4	   -4	    8	   -5	    7	   -4	    0	   -8	   -6	    3	    2	    0	   -1	   -1	   -1	    0	    0	    0	    2	    0	    0	   -3	    2	    0	    1	   -1	   -3	    2	    1	    1	   -2	   -2	    2	    1	   -2	    2	    0	
