H1-O1 	H1-O2 	H1-O3 	H2-O1 	H2-O2 	H2-O3 	H3-O1 	H3-O2 	H3-O3 	H4-O1 	H4-O2 	H4-O3 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	
 8234	 5851	 3187	-3005	-3273	 6507	-5857	 5845	-3541	 1983	-7071	-5047	 5252	 1839	 -169	-2205	-4366	 -163	  888	 -585	 1677	 3045	-1813	  -81	-3632	 2152	 1833	  129	-2260	-4130	 4536	 1140	  662	-2425	-3783	 5165	 1112	-2652	 1502	  178	
  775	  652	  177	 -264	 -433	  564	 -279	  387	 -257	   20	 -606	 -403	  339	  137	   31	 -138	 -181	  -80	   52	  -67	   34	  190	  -36	   10	 -390	  179	   -7	   69	  -58	 -314	  234	   57	  122	 -131	 -155	  207	  100	 -187	   53	  -11	
  425	  352	   97	 -149	 -223	  323	 -159	  223	 -144	    5	 -338	 -231	  178	   72	   13	  -72	  -93	  -44	   29	  -28	   13	  105	  -23	    6	 -195	   92	    1	   32	  -35	 -165	  116	   38	   60	  -73	  -86	  108	   59	  -97	   37	   -8	
  294	  239	   66	 -105	 -149	  228	 -113	  159	 -100	    2	 -237	 -164	  120	   48	    7	  -49	  -61	  -31	   19	  -15	    8	   72	  -17	    5	 -129	   62	    2	   21	  -25	 -111	   76	   28	   39	  -50	  -60	   73	   41	  -65	   29	   -7	
  224	  182	   51	  -81	 -110	  177	  -88	  124	  -78	    1	 -182	 -127	   90	   37	    5	  -36	  -46	  -23	   15	  -11	    5	   54	  -14	    3	  -94	   46	    2	   14	  -19	  -84	   55	   23	   29	  -37	  -46	   55	   31	  -48	   24	   -5	
  182	  146	   41	  -67	  -87	  145	  -72	  102	  -63	    0	 -148	 -103	   71	   29	    3	  -30	  -37	  -18	   13	   -7	    4	   44	  -11	    3	  -75	   36	    2	   11	  -16	  -66	   44	   19	   22	  -31	  -38	   43	   25	  -39	   20	   -4	
  153	  122	   34	  -56	  -72	  122	  -62	   87	  -54	    0	 -124	  -88	   59	   24	    2	  -24	  -30	  -16	   10	   -5	    3	   37	  -10	    2	  -62	   30	    2	    9	  -13	  -55	   35	   16	   19	  -26	  -32	   36	   21	  -31	   18	   -3	
  131	  105	   30	  -49	  -61	  106	  -53	   75	  -46	    0	 -108	  -75	   50	   20	    1	  -21	  -25	  -13	    8	   -5	    2	   32	   -8	    2	  -52	   25	    2	    8	  -12	  -47	   30	   15	   15	  -22	  -27	   31	   18	  -27	   16	   -3	
  116	   91	   26	  -43	  -53	   94	  -47	   68	  -41	   -1	  -96	  -67	   44	   18	    2	  -18	  -22	  -12	    8	   -3	    2	   27	   -8	    2	  -45	   22	    1	    6	  -10	  -41	   26	   13	   14	  -19	  -25	   27	   16	  -24	   14	   -2	
  103	   82	   23	  -38	  -47	   83	  -43	   60	  -36	    0	  -85	  -60	   38	   16	    1	  -16	  -20	  -10	    7	   -3	    1	   25	   -7	    1	  -40	   19	    2	    6	   -9	  -36	   23	   11	   12	  -17	  -22	   23	   14	  -20	   13	   -2	
   93	   73	   20	  -35	  -42	   76	  -38	   55	  -33	   -1	  -76	  -54	   35	   14	    0	  -15	  -17	   -9	    6	   -2	    1	   21	   -6	    2	  -35	   18	    1	    5	   -8	  -32	   20	   11	   11	  -15	  -19	   21	   13	  -19	   11	   -2	
   84	   66	   19	  -32	  -38	   70	  -35	   50	  -30	    0	  -71	  -49	   31	   13	    1	  -13	  -16	   -9	    5	   -2	    2	   20	   -6	    1	  -32	   15	    1	    5	   -7	  -29	   18	   10	    9	  -14	  -18	   19	   11	  -16	   11	   -1	
   78	   61	   17	  -29	  -34	   63	  -33	   46	  -28	   -1	  -64	  -46	   29	   12	    0	  -12	  -15	   -7	    5	   -2	    1	   19	   -5	    1	  -29	   15	    1	    4	   -7	  -27	   17	    9	    9	  -13	  -17	   18	   10	  -15	   10	   -2	
   72	   56	   16	  -27	  -32	   59	  -30	   43	  -26	   -1	  -60	  -42	   26	   10	    1	  -11	  -13	   -7	    5	   -1	    1	   16	   -4	    1	  -27	   13	    1	    4	   -6	  -24	   15	    8	    8	  -12	  -15	   16	   10	  -14	   10	   -1	
   67	   53	   15	  -26	  -29	   56	  -28	   40	  -23	    0	  -55	  -39	   24	   10	    0	  -10	  -12	   -7	    4	   -1	    0	   16	   -5	    2	  -25	   12	    1	    3	   -6	  -23	   14	    8	    7	  -11	  -14	   14	    9	  -13	    9	   -1	
   62	   48	   14	  -23	  -27	   51	  -26	   38	  -23	   -1	  -52	  -36	   22	    9	    0	  -10	  -11	   -6	    4	   -1	    1	   14	   -4	    1	  -22	   11	    1	    3	   -5	  -21	   12	    7	    7	  -10	  -14	   14	    8	  -12	    8	   -1	
   59	   46	   12	  -22	  -25	   49	  -25	   35	  -21	   -1	  -49	  -35	   21	    9	    0	   -9	  -11	   -6	    4	   -1	    1	   14	   -4	    0	  -22	   11	    1	    3	   -5	  -19	   12	    7	    7	  -10	  -12	   13	    8	  -11	    8	   -1	
   55	   42	   13	  -21	  -24	   45	  -23	   34	  -19	    0	  -46	  -32	   20	    8	    0	   -9	  -10	   -5	    3	   -1	    0	   12	   -4	    1	  -20	    9	    1	    3	   -5	  -19	   12	    7	    6	   -9	  -12	   12	    7	  -10	    8	   -1	
   52	   41	   11	  -20	  -23	   44	  -22	   32	  -19	   -1	  -44	  -31	   18	    8	    1	   -7	   -9	   -5	    3	   -1	    1	   12	   -3	    1	  -18	   10	    0	    2	   -4	  -17	   10	    6	    5	   -8	  -11	   11	    7	  -10	    7	   -1	
   50	   38	   11	  -19	  -21	   41	  -21	   30	  -18	    0	  -41	  -29	   17	    7	    0	   -8	   -9	   -5	    3	    0	    1	   12	   -3	    1	  -18	    8	    1	    3	   -4	  -16	   10	    6	    6	   -8	  -11	   11	    7	   -9	    6	   -1	
   47	   36	   10	  -18	  -20	   39	  -20	   29	  -17	   -1	  -39	  -28	   17	    7	    0	   -7	   -8	   -4	    3	   -1	    0	   10	   -4	    1	  -17	    8	    0	    2	   -4	  -16	    9	    5	    5	   -8	  -10	   10	    6	   -9	    7	    0	
   45	   35	   10	  -17	  -19	   37	  -19	   27	  -16	   -1	  -38	  -26	   15	    6	    0	   -7	   -8	   -4	    3	   -1	    0	   11	   -2	    0	  -16	    8	    1	    2	   -4	  -14	    9	    6	    4	   -7	   -9	   10	    6	   -8	    6	   -1	
   43	   33	    9	  -16	  -18	   36	  -18	   26	  -15	    0	  -36	  -26	   15	    6	    0	   -7	   -8	   -4	    3	    0	    1	    9	   -3	    1	  -15	    8	    0	    2	   -4	  -14	    9	    5	    5	   -7	   -9	    9	    5	   -8	    6	   -1	
   41	   31	    9	  -16	  -17	   34	  -18	   26	  -15	   -1	  -34	  -24	   14	    6	    0	   -6	   -7	   -4	    2	    0	    0	   10	   -3	    1	  -14	    7	    1	    2	   -3	  -14	    8	    5	    4	   -7	   -9	    8	    5	   -8	    6	    0	
   39	   30	    9	  -15	  -16	   33	  -17	   24	  -14	    0	  -33	  -23	   14	    6	    0	   -6	   -7	   -4	    3	   -1	    1	    8	   -3	    0	  -14	    6	    0	    2	   -3	  -12	    7	    4	    4	   -6	   -8	    9	    5	   -7	    5	   -1	
   38	   29	    8	  -14	  -16	   32	  -16	   23	  -13	   -1	  -31	  -23	   13	    5	    0	   -5	   -7	   -3	    2	    0	    0	    9	   -2	    1	  -13	    7	    1	    2	   -4	  -13	    8	    5	    4	   -6	   -8	    8	    5	   -7	    6	    0	
   36	   28	    8	  -14	  -15	   30	  -15	   23	  -13	   -1	  -31	  -21	   12	    5	    0	   -6	   -6	   -4	    2	   -1	    0	    8	   -2	    1	  -13	    6	    0	    2	   -3	  -11	    7	    4	    4	   -6	   -8	    7	    5	   -6	    5	   -1	
   35	   27	    7	  -13	  -15	   29	  -15	   21	  -13	    0	  -29	  -21	   12	    5	    0	   -5	   -6	   -3	    2	    0	    1	    8	   -3	    0	  -12	    6	    0	    1	   -3	  -12	    7	    4	    4	   -6	   -8	    7	    4	   -7	    5	    0	
   33	   25	    7	  -13	  -14	   29	  -15	   21	  -12	   -1	  -28	  -20	   12	    5	    0	   -5	   -6	   -3	    2	    0	    0	    7	   -2	    1	  -11	    6	    1	    2	   -2	  -10	    6	    4	    3	   -5	   -7	    7	    5	   -6	    4	   -1	
   33	   25	    7	  -12	  -13	   27	  -14	   20	  -12	    0	  -28	  -19	   11	    4	    0	   -5	   -5	   -3	    2	    0	    0	    8	   -2	    0	  -12	    5	    0	    1	   -3	  -11	    6	    4	    4	   -6	   -7	    7	    4	   -5	    5	    0	
   31	   24	    7	  -12	  -13	   26	  -13	   20	  -11	   -1	  -26	  -19	   10	    5	    0	   -5	   -6	   -3	    2	   -1	    1	    7	   -2	    1	  -10	    6	    0	    2	   -3	  -10	    6	    4	    3	   -5	   -6	    7	    4	   -6	    5	    0	
   31	   23	    7	  -12	  -13	   26	  -13	   19	  -11	    0	  -26	  -18	   10	    4	    0	   -4	   -5	   -3	    2	    0	    0	    7	   -2	    0	  -11	    5	    1	    1	   -2	  -10	    6	    4	    3	   -5	   -7	    6	    4	   -6	    4	   -1	
