H1-O1 	H1-O2 	H1-O3 	H2-O1 	H2-O2 	H2-O3 	H3-O1 	H3-O2 	H3-O3 	H4-O1 	H4-O2 	H4-O3 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	
13519	 9994	 4344	-4950	-5679	10787	-8015	 8943	-5401	 1948	-11414	-8079	 7186	 2634	 -108	-3039	-5364	 -665	 1212	 -743	 1774	 4258	-2120	    1	-5674	 3134	 1851	  433	-2691	-5945	 5709	 1701	 1281	-3288	-4880	 6348	 1794	-3689	 2141	  101	
    4	    4	    1	   -1	   -2	    4	   -2	    3	   -1	    0	   -4	   -3	    1	    1	    0	   -1	   -1	   -1	    1	    0	    0	    1	    0	    0	   -1	    1	    0	    0	    0	   -2	    1	    1	    1	    0	   -1	    1	    1	   -1	    0	    0	
    5	    3	    1	   -2	   -1	    5	   -2	    3	   -2	    0	   -4	   -3	    1	    1	    0	    0	   -1	    0	    0	    0	    0	    1	   -1	    0	   -1	    1	    0	    1	    0	   -1	    1	    1	    0	   -1	   -1	    1	    0	   -1	    1	    0	
    5	    4	    1	   -2	   -2	    4	   -2	    3	   -2	   -1	   -4	   -3	    2	    0	    0	   -1	    0	    0	    0	    0	    0	    1	    0	    0	   -2	    0	    0	    0	   -1	   -1	    1	    0	    0	   -1	   -1	    1	    1	    0	    1	    0	
    4	    3	    0	   -2	   -2	    4	   -3	    3	   -2	    0	   -4	   -3	    1	    1	    0	   -1	   -1	   -1	    0	    0	    0	    1	    0	    0	   -1	    1	    0	    0	    0	   -2	    0	    1	    1	   -1	   -1	    1	    0	   -1	    1	    0	
    5	    3	    1	   -1	   -2	    4	   -2	    3	   -1	    0	   -4	   -2	    1	    0	    0	    0	   -1	    0	    0	    0	    0	    1	    0	    0	   -2	    1	    0	    0	    0	   -1	    1	    0	    0	    0	    0	    1	    1	   -1	    0	    0	
    5	    4	    1	   -2	   -1	    4	   -2	    3	   -2	    0	   -3	   -3	    2	    1	    0	   -1	   -1	    0	    1	    0	    0	    1	   -1	    0	   -1	    0	    0	    0	   -1	   -1	    1	    1	    1	   -1	   -1	    0	    0	    0	    1	    0	
    4	    3	    1	   -2	   -2	    4	   -2	    3	   -2	    0	   -4	   -3	    1	    0	    0	   -1	    0	   -1	    0	    0	    0	    0	    0	    0	   -1	    1	   -1	    0	    0	   -1	    1	    0	    0	   -1	   -1	    1	    1	   -1	    1	    0	
    5	    3	    1	   -2	   -2	    4	   -2	    3	   -1	    0	   -4	   -3	    1	    1	    0	    0	   -1	    0	    0	    0	    0	    1	    0	    0	   -2	    1	    0	    1	    0	   -2	    0	    1	    0	    0	   -1	    1	    0	   -1	    0	    0	
    4	    4	    1	   -1	   -1	    4	   -2	    3	   -2	   -1	   -4	   -2	    2	    1	    0	   -1	   -1	    0	    0	    0	    0	    1	    0	    0	   -1	    0	    0	    0	   -1	   -1	    1	    0	    1	   -1	   -1	    1	    1	    0	    1	    0	
    5	    3	    1	   -2	   -2	    4	   -2	    3	   -2	    0	   -4	   -3	    1	    0	    0	   -1	    0	   -1	    1	    0	    0	    1	    0	    1	   -1	    1	    0	    0	    0	   -1	    1	    1	    0	   -1	   -1	    1	    0	   -1	    1	    0	
    5	    3	    1	   -2	   -2	    4	   -2	    3	   -1	    0	   -4	   -3	    1	    1	    0	    0	   -1	    0	    0	    0	    1	    1	   -1	    0	   -2	    0	    0	    0	    0	   -2	    1	    0	    1	    0	   -1	    0	    1	   -1	    1	    0	
