H1-O1 	H1-O2 	H1-O3 	H2-O1 	H2-O2 	H2-O3 	H3-O1 	H3-O2 	H3-O3 	H4-O1 	H4-O2 	H4-O3 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	
    5	    4	    1	   -2	   -2	    4	   -3	    4	   -2	   -1	   -4	   -3	    2	    0	    0	   -1	   -1	    0	    0	    0	    0	    1	    0	    0	   -1	    0	    0	    0	   -1	   -1	    1	    1	    0	   -1	   -2	    0	    0	   -1	    1	    0	
    5	    3	    1	   -2	   -2	    5	   -2	    3	   -2	    0	   -4	   -3	    1	    1	    0	   -1	   -1	   -1	    0	    0	    0	    1	    0	    0	   -2	    1	    0	    0	    0	   -2	    1	    1	    1	   -1	   -1	    1	    1	    0	    1	    0	
    5	    4	    1	   -2	   -2	    4	   -2	    3	   -2	    0	   -5	   -3	    2	    1	    0	   -1	    0	    0	    1	    0	    0	    1	    0	    0	   -2	    1	    0	    0	   -1	   -1	    1	    0	    0	   -1	   -1	    1	    0	   -1	    1	    0	
    5	    4	    1	   -2	   -2	    5	   -2	    4	   -2	    0	   -4	   -3	    1	    0	    0	    0	   -1	    0	    0	    0	    0	    1	   -1	    0	   -1	    1	    0	    0	    0	   -2	    0	    1	    1	   -1	   -1	    1	    1	   -1	    0	    0	
    6	    4	    1	   -2	   -2	    4	   -3	    3	   -1	    0	   -5	   -4	    2	    1	    0	   -1	   -1	   -1	    0	    0	    0	    1	    0	    1	   -2	    0	    0	    1	    0	   -1	    1	    0	    0	    0	   -1	    1	    0	   -1	    1	    0	
    5	    3	    1	   -2	   -2	    5	   -2	    4	   -2	   -1	   -4	   -3	    1	    0	    0	   -1	   -1	    0	    0	    0	    0	    1	    0	    0	   -1	    1	    0	    0	   -1	   -2	    1	    1	    1	   -1	   -1	    1	    1	   -1	    1	    0	
    5	    4	    1	   -1	   -2	    4	   -2	    3	   -2	    0	   -4	   -3	    2	    1	    0	   -1	    0	   -1	    1	    0	    0	    1	    0	    0	   -2	    1	    0	    0	    0	   -1	    1	    1	    0	   -1	   -1	    1	    1	    0	    1	    0	
    5	    4	    1	   -2	   -2	    4	   -2	    3	   -2	    0	   -4	   -3	    1	    1	    0	    0	   -1	    0	    0	    0	    0	    1	   -1	    0	   -1	    1	    0	    0	   -1	   -1	    1	    0	    1	   -1	   -1	    1	    0	   -1	    1	    0	
    5	    3	    1	   -2	   -1	    5	   -3	    3	   -2	    0	   -5	   -3	    2	    0	    0	   -1	   -1	    0	    0	    0	    0	    1	    0	    0	   -1	    0	   -1	    0	    0	   -2	    1	    1	    0	    0	   -1	    1	    1	   -1	    0	    0	
    5	    4	    1	   -2	   -2	    4	   -2	    4	   -2	    0	   -4	   -3	    1	    1	    0	   -1	   -1	   -1	    0	    0	    0	    1	    0	    0	   -2	    1	    0	    1	    0	   -1	    0	    0	    0	   -1	   -1	    1	    0	   -1	    1	    0	
