H1-O1 	 13.51380949991872 
H1-O2 	 9.990982702788248 
H1-O3 	 4.342739159425063 
H2-O1 	 -4.947767282920998 
H2-O2 	 -5.676994968055631 
H2-O3 	 10.783127573994678 
H3-O1 	 -8.013094321669607 
H3-O2 	 8.939420613381467 
H3-O3 	 -5.398956920457664 
H4-O1 	 1.9481993333296694 
H4-O2 	 -11.409724213207793 
H4-O3 	 -8.076267344702984 
I1-H1 	 7.1842160363969265 
I1-H2 	 2.633774332950565 
I1-H3 	 -0.10814591435970881 
I1-H4 	 -3.038247153899361 
I2-H1 	 -5.3636021408692365 
I2-H2 	 -0.6647922380638506 
I2-H3 	 1.2121707197149756 
I2-H4 	 -0.743426309001746 
I3-H1 	 1.774177030161457 
I3-H2 	 4.256991214902071 
I3-H3 	 -2.1199281300209845 
I3-H4 	 0.0006832022467920506 
I4-H1 	 -5.6723425633716955 
I4-H2 	 3.1335292207148306 
I4-H3 	 1.8509516482108108 
I4-H4 	 0.4330304265758357 
I5-H1 	 -2.6901668196323043 
I5-H2 	 -5.944039773504521 
I5-H3 	 5.708674936532298 
I5-H4 	 1.7009128598656882 
I6-H1 	 1.2807915693812126 
I6-H2 	 -3.2870103381706692 
I6-H3 	 -4.878753165451358 
I6-H4 	 6.347545017882825 
I7-H1 	 1.7936609239635668 
I7-H2 	 -3.6884763339458693 
I7-H3 	 2.140029025626264 
I7-H4 	 0.10106517371443237 
