H1-O1 	H1-O2 	H1-O3 	H1-O4 	H2-O1 	H2-O2 	H2-O3 	H2-O4 	H3-O1 	H3-O2 	H3-O3 	H3-O4 	H4-O1 	H4-O2 	H4-O3 	H4-O4 	H5-O1 	H5-O2 	H5-O3 	H5-O4 	H6-O1 	H6-O2 	H6-O3 	H6-O4 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I1-H5 	I1-H6 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I2-H5 	I2-H6 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I3-H5 	I3-H6 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I4-H5 	I4-H6 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I5-H5 	I5-H6 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I6-H5 	I6-H6 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	I7-H5 	I7-H6 	
  -33	   31	   53	   37	   25	  -42	   12	  -30	   36	  -26	  -16	   24	  -22	   16	  -53	  -29	  -46	   -8	   16	    6	   16	   60	   23	   12	    9	   -1	  -16	  -14	    0	  -14	  -26	   -2	  -12	  -14	   10	   -6	   19	  -13	   17	   17	   -4	  -10	   -9	    0	   23	    6	   -4	   -7	   -7	   17	  -22	    3	   -7	   15	   -1	   14	  -21	   23	  -17	    8	    5	   -9	   12	  -20	    7	    7	
  -32	   29	   51	   35	   23	  -40	   11	  -30	   35	  -24	  -14	   24	  -21	   15	  -51	  -27	  -43	   -7	   16	    7	   15	   57	   22	   11	    9	   -2	  -16	  -13	    0	  -12	  -25	   -2	  -12	  -14	    9	   -6	   18	  -12	   17	   16	   -4	  -10	   -8	    0	   21	    5	   -4	   -7	   -6	   15	  -20	    4	   -7	   15	   -2	   13	  -21	   21	  -17	    8	    5	   -9	   11	  -19	    8	    7	
  -30	   29	   48	   33	   23	  -38	   11	  -28	   34	  -23	  -14	   23	  -20	   15	  -48	  -26	  -42	   -6	   15	    6	   15	   54	   21	   11	    8	   -1	  -15	  -12	    0	  -12	  -24	   -2	  -12	  -13	    9	   -5	   18	  -12	   15	   16	   -4	   -9	   -8	    0	   21	    5	   -4	   -6	   -6	   15	  -20	    3	   -7	   14	   -1	   12	  -19	   21	  -17	    7	    4	   -8	   11	  -19	    6	    8	
  -29	   27	   47	   33	   21	  -37	   11	  -26	   32	  -23	  -14	   22	  -19	   14	  -47	  -25	  -40	   -7	   15	    6	   14	   52	   20	   10	    8	   -2	  -14	  -12	    0	  -12	  -24	   -2	  -11	  -12	    9	   -6	   17	  -11	   15	   15	   -3	   -9	   -8	    0	   19	    4	   -4	   -6	   -6	   14	  -19	    3	   -6	   13	   -1	   12	  -19	   20	  -15	    7	    5	   -8	   10	  -17	    7	    7	
  -27	   26	   45	   31	   21	  -35	   10	  -26	   31	  -21	  -13	   21	  -18	   13	  -45	  -24	  -39	   -6	   14	    6	   13	   51	   20	   10	    8	   -1	  -14	  -12	    0	  -11	  -22	   -2	  -10	  -12	    8	   -5	   16	  -11	   15	   14	   -4	   -9	   -8	    0	   19	    5	   -4	   -6	   -6	   13	  -18	    3	   -6	   13	   -1	   12	  -19	   19	  -15	    7	    4	   -7	   10	  -18	    7	    6	
  -27	   25	   43	   30	   20	  -34	   10	  -25	   30	  -21	  -12	   20	  -18	   13	  -43	  -23	  -37	   -6	   14	    5	   14	   48	   19	   10	    8	   -1	  -13	  -11	    0	  -11	  -21	   -1	  -10	  -11	    8	   -5	   16	  -10	   14	   14	   -3	   -9	   -7	    0	   19	    4	   -3	   -6	   -6	   13	  -18	    3	   -6	   13	   -2	   11	  -17	   18	  -15	    6	    4	   -7	   10	  -16	    6	    7	
  -26	   24	   42	   29	   19	  -33	   10	  -24	   29	  -20	  -12	   20	  -17	   13	  -42	  -23	  -36	   -5	   13	    5	   12	   47	   18	    9	    7	   -1	  -12	  -11	    0	  -10	  -21	   -2	  -10	  -11	    8	   -5	   15	  -10	   13	   13	   -3	   -8	   -7	    0	   17	    5	   -4	   -5	   -5	   13	  -17	    3	   -6	   12	   -1	   10	  -17	   18	  -13	    7	    4	   -7	    9	  -16	    6	    7	
  -25	   23	   40	   28	   19	  -31	   10	  -24	   28	  -20	  -12	   19	  -17	   12	  -40	  -21	  -35	   -5	   13	    6	   13	   45	   18	    9	    7	   -2	  -13	  -10	    0	  -11	  -20	   -2	   -9	  -11	    7	   -5	   15	   -9	   13	   13	   -3	   -8	   -7	   -1	   17	    4	   -3	   -5	   -5	   12	  -16	    3	   -6	   11	   -1	   11	  -17	   17	  -14	    6	    4	   -7	    8	  -15	    5	    6	
  -24	   23	   39	   27	   18	  -31	    9	  -22	   27	  -19	  -11	   18	  -16	   12	  -40	  -22	  -34	   -6	   12	    5	   11	   44	   17	    9	    6	   -1	  -11	  -10	    0	   -9	  -19	   -2	   -9	  -10	    8	   -5	   14	   -9	   13	   12	   -3	   -8	   -6	    0	   17	    4	   -3	   -6	   -5	   11	  -16	    2	   -5	   12	   -1	   10	  -16	   17	  -13	    6	    4	   -6	    9	  -15	    6	    6	
  -23	   21	   38	   27	   17	  -29	    9	  -22	   26	  -18	  -10	   18	  -16	   12	  -38	  -20	  -33	   -4	   12	    4	   12	   42	   17	    8	    7	   -1	  -12	  -10	   -1	  -10	  -19	   -1	   -9	  -10	    6	   -4	   14	   -9	   12	   12	   -3	   -8	   -7	    0	   16	    4	   -3	   -5	   -5	   11	  -15	    3	   -5	   10	   -1	    9	  -15	   15	  -12	    5	    4	   -6	    8	  -14	    5	    6	
