H1-O1 	H1-O2 	H1-O3 	H1-O4 	H2-O1 	H2-O2 	H2-O3 	H2-O4 	H3-O1 	H3-O2 	H3-O3 	H3-O4 	H4-O1 	H4-O2 	H4-O3 	H4-O4 	H5-O1 	H5-O2 	H5-O3 	H5-O4 	H6-O1 	H6-O2 	H6-O3 	H6-O4 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I1-H5 	I1-H6 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I2-H5 	I2-H6 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I3-H5 	I3-H6 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I4-H5 	I4-H6 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I5-H5 	I5-H6 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I6-H5 	I6-H6 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	I7-H5 	I7-H6 	
  -14	   13	   23	   16	   10	  -17	    6	  -13	   15	  -11	   -7	   11	  -10	    7	  -24	  -13	  -20	   -2	    7	    3	    7	   25	   11	    5	    3	    0	   -7	   -6	    0	   -6	  -12	   -1	   -5	   -5	    4	   -3	    9	   -5	    8	    7	   -1	   -5	   -4	    0	    9	    2	   -2	   -3	   -3	    7	   -9	    2	   -3	    6	   -1	    6	  -10	   10	   -7	    3	    2	   -3	    5	   -8	    4	    5	
  -13	   13	   22	   16	   10	  -17	    5	  -13	   15	  -11	   -6	   11	   -9	    7	  -22	  -12	  -19	   -3	    8	    3	    7	   25	   10	    5	    4	   -1	   -6	   -5	    0	   -6	  -11	   -1	   -5	   -6	    4	   -3	    8	   -5	    7	    7	   -2	   -6	   -4	   -1	    9	    3	   -2	   -3	   -3	    6	   -9	    1	   -4	    7	    0	    5	   -9	    9	   -7	    4	    2	   -3	    4	   -8	    3	    4	
  -14	   12	   21	   15	   10	  -17	    6	  -12	   15	  -11	   -6	   11	   -9	    7	  -23	  -12	  -19	   -2	    7	    3	    7	   24	    9	    5	    4	   -1	   -7	   -6	    0	   -5	  -10	   -2	   -5	   -5	    4	   -3	    8	   -5	    7	    6	   -2	   -5	   -4	    0	   10	    2	   -1	   -3	   -3	    6	   -8	    1	   -3	    6	   -1	    5	   -9	    9	   -7	    4	    3	   -3	    5	   -9	    3	    5	
  -13	   12	   21	   15	    9	  -17	    5	  -13	   15	  -10	   -6	   10	   -9	    6	  -22	  -12	  -18	   -3	    7	    3	    7	   24	   10	    5	    3	   -1	   -6	   -5	    0	   -6	  -11	   -1	   -4	   -6	    3	   -2	    8	   -4	    7	    6	   -1	   -5	   -4	   -1	    8	    3	   -2	   -3	   -3	    6	   -8	    1	   -3	    6	    0	    6	   -9	    9	   -7	    3	    2	   -3	    4	   -7	    3	    4	
  -13	   12	   21	   15	   10	  -16	    6	  -12	   14	  -10	   -5	   10	   -8	    7	  -21	  -12	  -18	   -2	    7	    2	    7	   23	    9	    5	    3	   -1	   -6	   -6	    0	   -6	  -11	   -1	   -5	   -5	    4	   -3	    8	   -5	    7	    7	   -2	   -5	   -3	   -1	    9	    2	   -2	   -3	   -3	    6	   -9	    2	   -3	    6	   -1	    5	   -9	    8	   -7	    4	    2	   -3	    5	   -8	    3	    4	
  -13	   12	   20	   15	    9	  -15	    5	  -12	   14	  -10	   -6	   10	   -9	    6	  -22	  -12	  -18	   -2	    7	    3	    7	   23	   10	    5	    4	    0	   -6	   -5	    0	   -5	  -10	   -2	   -4	   -5	    4	   -3	    8	   -4	    6	    6	   -1	   -5	   -4	    0	    9	    2	   -2	   -3	   -3	    5	   -7	    1	   -3	    6	   -1	    4	   -8	    9	   -7	    3	    2	   -2	    4	   -8	    3	    4	
  -12	   11	   20	   14	    9	  -16	    5	  -11	   14	  -10	   -6	   10	   -8	    6	  -21	  -11	  -18	   -2	    7	    3	    6	   22	    9	    5	    3	   -1	   -6	   -5	   -1	   -5	  -10	   -1	   -4	   -5	    3	   -3	    7	   -5	    7	    6	   -2	   -5	   -3	   -1	    8	    3	   -2	   -3	   -3	    6	   -8	    1	   -3	    6	    0	    5	   -9	    8	   -6	    3	    2	   -3	    4	   -7	    3	    4	
  -13	   12	   20	   14	    9	  -15	    6	  -12	   14	  -10	   -5	   10	   -8	    7	  -20	  -11	  -17	   -3	    7	    3	    6	   22	    9	    4	    3	   -1	   -6	   -6	    0	   -6	  -10	   -1	   -5	   -5	    4	   -2	    8	   -4	    6	    5	   -1	   -4	   -4	    0	    9	    2	   -1	   -2	   -3	    5	   -8	    1	   -3	    6	   -1	    5	   -8	    8	   -7	    4	    2	   -2	    4	   -8	    3	    4	
  -12	   11	   19	   14	    9	  -15	    5	  -11	   13	   -9	   -5	    9	   -8	    6	  -20	  -11	  -17	   -2	    6	    2	    7	   22	    9	    5	    4	   -1	   -6	   -5	    0	   -5	  -10	   -1	   -4	   -5	    4	   -3	    7	   -4	    7	    6	   -2	   -5	   -3	   -1	    8	    2	   -2	   -3	   -2	    6	   -7	    1	   -3	    6	    0	    5	   -8	    9	   -6	    3	    2	   -3	    4	   -7	    3	    4	
  -12	   11	   19	   14	    8	  -15	    5	  -11	   13	   -9	   -6	   10	   -8	    6	  -20	  -11	  -17	   -2	    7	    3	    6	   21	    8	    4	    3	    0	   -5	   -5	    0	   -5	   -9	   -2	   -4	   -4	    3	   -3	    7	   -4	    6	    6	   -1	   -5	   -4	   -1	    8	    2	   -2	   -3	   -3	    5	   -8	    1	   -3	    5	   -1	    4	   -9	    7	   -7	    3	    2	   -2	    4	   -7	    3	    4	
  -11	   11	   19	   14	    9	  -14	    5	  -11	   13	  -10	   -5	    9	   -8	    5	  -20	  -11	  -16	   -2	    6	    2	    6	   21	    9	    5	    3	   -1	   -6	   -5	    0	   -5	  -10	   -1	   -4	   -5	    3	   -2	    7	   -4	    6	    5	   -2	   -4	   -3	    0	    8	    3	   -1	   -2	   -3	    5	   -7	    1	   -2	    6	    0	    5	   -8	    8	   -6	    3	    2	   -3	    4	   -7	    3	    4	
  -12	   10	   18	   13	    8	  -15	    5	  -11	   13	   -9	   -5	    9	   -8	    6	  -19	  -11	  -16	   -2	    6	    3	    6	   21	    8	    4	    3	   -1	   -5	   -4	    0	   -5	   -9	   -1	   -4	   -5	    4	   -3	    7	   -5	    6	    6	   -1	   -5	   -3	   -1	    7	    2	   -2	   -3	   -2	    5	   -7	    1	   -3	    5	   -1	    4	   -7	    8	   -6	    3	    1	   -2	    4	   -7	    3	    4	
  -11	   11	   19	   13	    8	  -14	    4	  -11	   12	   -9	   -5	    9	   -7	    6	  -19	  -10	  -16	   -2	    7	    2	    6	   20	    9	    5	    3	    0	   -5	   -5	    0	   -5	   -9	   -1	   -4	   -4	    3	   -2	    7	   -3	    6	    5	   -2	   -5	   -3	    0	    8	    2	   -2	   -3	   -3	    5	   -7	    1	   -3	    6	    0	    4	   -8	    7	   -6	    3	    2	   -2	    4	   -7	    2	    4	
  -11	   10	   17	   13	    8	  -13	    5	  -10	   12	   -8	   -5	    9	   -8	    5	  -19	  -10	  -15	   -2	    6	    3	    6	   20	    8	    4	    3	   -1	   -6	   -5	    0	   -5	   -9	   -1	   -3	   -4	    3	   -3	    7	   -4	    6	    6	   -1	   -4	   -4	   -1	    8	    2	   -1	   -2	   -3	    5	   -7	    1	   -3	    5	   -1	    4	   -8	    8	   -6	    3	    2	   -3	    3	   -7	    3	    4	
  -11	   10	   18	   12	    8	  -14	    5	  -10	   12	   -9	   -5	    9	   -7	    6	  -19	  -10	  -16	   -2	    6	    2	    6	   20	    8	    4	    3	   -1	   -5	   -4	   -1	   -4	   -9	   -2	   -4	   -5	    4	   -2	    7	   -4	    6	    5	   -1	   -4	   -3	   -1	    7	    2	   -2	   -3	   -2	    5	   -7	    1	   -2	    5	    0	    5	   -7	    7	   -6	    3	    2	   -2	    4	   -6	    3	    3	
  -11	   10	   17	   13	    8	  -13	    4	  -10	   12	   -9	   -5	    8	   -7	    5	  -18	  -10	  -15	   -1	    6	    3	    6	   19	    8	    4	    2	    0	   -5	   -5	    0	   -5	   -9	   -1	   -4	   -4	    3	   -3	    7	   -4	    5	    5	   -2	   -5	   -3	    0	    7	    2	   -1	   -2	   -3	    5	   -7	    1	   -3	    5	    0	    4	   -8	    7	   -5	    3	    2	   -2	    4	   -7	    2	    4	
  -11	   10	   17	   12	    7	  -14	    5	  -10	   12	   -8	   -4	    9	   -7	    6	  -18	  -10	  -15	   -2	    6	    2	    5	   19	    8	    4	    3	   -1	   -5	   -4	    0	   -5	   -8	   -1	   -3	   -4	    3	   -2	    6	   -4	    6	    5	   -1	   -4	   -3	   -1	    8	    2	   -2	   -3	   -2	    4	   -6	    1	   -2	    5	   -1	    4	   -7	    7	   -6	    3	    1	   -2	    3	   -6	    3	    4	
  -10	    9	   17	   12	    8	  -13	    5	  -10	   12	   -8	   -5	    8	   -7	    5	  -17	  -10	  -15	   -2	    5	    2	    6	   19	    7	    4	    3	   -1	   -5	   -5	    0	   -4	   -9	   -1	   -4	   -4	    3	   -2	    6	   -3	    5	    5	   -1	   -4	   -3	    0	    7	    2	   -2	   -2	   -3	    5	   -7	    1	   -3	    5	    0	    4	   -7	    7	   -5	    3	    2	   -2	    4	   -6	    2	    3	
  -11	   10	   17	   12	    7	  -12	    4	  -10	   11	   -8	   -5	    8	   -7	    5	  -18	   -9	  -14	   -2	    6	    3	    5	   19	    8	    4	    3	    0	   -5	   -4	    0	   -5	   -8	   -1	   -3	   -5	    3	   -2	    7	   -4	    6	    5	   -1	   -4	   -3	   -1	    7	    2	   -1	   -2	   -2	    4	   -6	    1	   -2	    5	   -1	    3	   -7	    7	   -6	    3	    2	   -2	    3	   -6	    3	    4	
  -10	    9	   16	   12	    8	  -13	    4	   -9	   11	   -8	   -4	    8	   -7	    5	  -17	  -10	  -14	   -1	    6	    2	    6	   18	    8	    4	    2	   -1	   -4	   -5	    0	   -4	   -9	   -1	   -4	   -4	    3	   -3	    6	   -3	    5	    5	   -2	   -5	   -3	   -1	    6	    2	   -1	   -3	   -3	    5	   -7	    1	   -3	    5	    0	    4	   -7	    7	   -5	    3	    1	   -2	    4	   -6	    2	    3	
  -10	    9	   16	   12	    7	  -13	    5	  -10	   11	   -8	   -4	    8	   -6	    5	  -17	   -9	  -15	   -2	    5	    2	    5	   18	    7	    4	    3	   -1	   -5	   -4	    0	   -5	   -8	   -2	   -3	   -3	    3	   -2	    6	   -4	    5	    4	   -1	   -4	   -3	    0	    7	    2	   -2	   -2	   -2	    4	   -6	    1	   -2	    5	   -1	    4	   -7	    7	   -5	    2	    2	   -2	    3	   -6	    3	    4	
  -10	   10	   16	   11	    7	  -12	    4	   -9	   11	   -8	   -5	    8	   -7	    5	  -17	   -9	  -13	   -2	    6	    2	    5	   18	    7	    4	    3	    0	   -5	   -4	    0	   -4	   -8	   -1	   -4	   -4	    3	   -2	    6	   -3	    5	    5	   -1	   -4	   -2	   -1	    7	    1	   -1	   -2	   -2	    5	   -6	    1	   -3	    4	    0	    4	   -7	    6	   -6	    3	    1	   -2	    3	   -6	    2	    3	
  -10	    9	   16	   11	    7	  -12	    4	   -9	   11	   -8	   -4	    8	   -7	    5	  -16	   -9	  -14	   -1	    5	    3	    6	   17	    7	    3	    2	   -1	   -4	   -4	    0	   -4	   -8	   -1	   -3	   -4	    2	   -2	    6	   -3	    5	    4	   -1	   -4	   -3	    0	    7	    2	   -2	   -3	   -3	    4	   -6	    0	   -2	    5	    0	    3	   -7	    7	   -5	    3	    2	   -2	    4	   -6	    3	    4	
   -9	    8	   15	   12	    7	  -12	    4	   -9	   11	   -7	   -4	    8	   -6	    5	  -17	   -9	  -14	   -2	    5	    2	    5	   18	    8	    4	    3	   -1	   -5	   -4	    0	   -4	   -8	   -1	   -3	   -4	    3	   -3	    6	   -4	    5	    5	   -2	   -4	   -3	   -1	    6	    2	   -1	   -2	   -2	    4	   -6	    1	   -2	    5	   -1	    4	   -6	    6	   -5	    2	    2	   -1	    3	   -6	    2	    3	
  -10	    9	   16	   11	    7	  -12	    5	   -9	   10	   -8	   -5	    7	   -6	    5	  -16	   -9	  -13	   -2	    6	    2	    5	   17	    7	    4	    2	    0	   -4	   -4	   -1	   -5	   -7	   -1	   -3	   -4	    3	   -2	    6	   -3	    5	    4	   -1	   -4	   -3	   -1	    6	    2	   -2	   -2	   -2	    4	   -6	    1	   -3	    4	    0	    4	   -7	    6	   -5	    3	    1	   -2	    3	   -5	    2	    4	
   -9	    9	   15	   11	    6	  -11	    4	   -9	   10	   -7	   -4	    8	   -7	    4	  -16	   -9	  -13	   -1	    5	    2	    5	   16	    6	    3	    3	   -1	   -5	   -4	    0	   -4	   -8	   -1	   -3	   -3	    3	   -2	    6	   -3	    5	    5	   -1	   -4	   -2	    0	    7	    2	   -1	   -2	   -2	    4	   -6	    1	   -2	    5	   -1	    3	   -6	    7	   -5	    3	    2	   -2	    3	   -6	    2	    3	
  -10	    8	   14	   10	    7	  -12	    4	   -9	   11	   -8	   -4	    7	   -6	    5	  -16	   -9	  -13	   -2	    5	    2	    5	   17	    7	    4	    2	   -1	   -4	   -4	    0	   -4	   -7	   -1	   -4	   -4	    2	   -2	    5	   -3	    5	    4	   -1	   -3	   -3	   -1	    6	    1	   -1	   -3	   -3	    4	   -5	    1	   -2	    4	    0	    3	   -7	    6	   -5	    2	    1	   -2	    3	   -6	    3	    3	
   -9	    9	   15	   11	    7	  -11	    4	   -8	   10	   -7	   -4	    8	   -6	    4	  -15	   -8	  -13	   -1	    5	    2	    5	   16	    7	    3	    2	    0	   -4	   -4	    0	   -4	   -8	   -1	   -3	   -4	    3	   -2	    6	   -4	    5	    4	   -1	   -4	   -3	    0	    6	    2	   -2	   -2	   -2	    4	   -6	    0	   -2	    4	    0	    4	   -6	    6	   -5	    3	    2	   -1	    3	   -5	    2	    3	
   -9	    8	   15	   10	    6	  -11	    4	   -9	   10	   -7	   -4	    7	   -6	    5	  -15	   -9	  -13	   -2	    5	    2	    5	   17	    7	    4	    3	   -1	   -4	   -4	    0	   -4	   -7	   -1	   -3	   -3	    3	   -2	    6	   -3	    5	    5	   -1	   -4	   -2	   -1	    6	    2	   -1	   -2	   -2	    4	   -5	    1	   -2	    5	   -1	    3	   -6	    6	   -4	    2	    1	   -2	    3	   -5	    2	    4	
   -9	    8	   14	   11	    6	  -11	    4	   -8	    9	   -7	   -4	    7	   -6	    5	  -16	   -8	  -12	   -1	    5	    2	    4	   16	    6	    3	    2	   -1	   -5	   -4	    0	   -4	   -7	   -1	   -3	   -4	    2	   -2	    5	   -3	    4	    4	   -1	   -4	   -3	   -1	    6	    1	   -1	   -2	   -2	    4	   -6	    1	   -3	    4	    0	    3	   -6	    6	   -5	    3	    2	   -2	    3	   -6	    2	    3	
   -9	    8	   14	   10	    7	  -11	    3	   -8	   10	   -7	   -4	    7	   -6	    4	  -15	   -8	  -13	   -1	    5	    2	    5	   15	    7	    4	    2	    0	   -4	   -3	    0	   -3	   -8	   -2	   -3	   -3	    3	   -2	    5	   -3	    5	    4	   -1	   -3	   -2	    0	    6	    2	   -1	   -2	   -2	    4	   -5	    1	   -2	    4	   -1	    4	   -6	    5	   -5	    2	    1	   -1	    3	   -5	    2	    3	
   -9	    8	   14	   10	    6	  -11	    4	   -9	   10	   -7	   -3	    7	   -5	    4	  -14	   -8	  -12	   -2	    5	    2	    5	   16	    6	    3	    3	   -1	   -4	   -4	    0	   -4	   -7	   -1	   -2	   -3	    2	   -2	    6	   -3	    4	    4	   -1	   -4	   -3	   -1	    6	    2	   -2	   -2	   -2	    3	   -6	    0	   -2	    4	    0	    3	   -6	    6	   -4	    3	    2	   -2	    3	   -5	    3	    3	
   -8	    8	   14	   10	    6	  -11	    4	   -8	    9	   -7	   -4	    7	   -6	    5	  -15	   -8	  -12	   -1	    5	    2	    4	   15	    7	    3	    2	    0	   -4	   -4	    0	   -4	   -7	   -1	   -3	   -4	    3	   -2	    5	   -2	    5	    4	   -2	   -4	   -2	    0	    6	    1	   -1	   -2	   -2	    4	   -5	    1	   -2	    4	    0	    3	   -6	    6	   -5	    2	    1	   -1	    3	   -5	    2	    3	
   -9	    8	   13	   10	    6	  -10	    4	   -8	   10	   -6	   -4	    7	   -6	    4	  -15	   -8	  -12	   -2	    4	    2	    5	   16	    6	    4	    2	   -1	   -4	   -3	   -1	   -4	   -7	   -1	   -3	   -3	    2	   -2	    5	   -3	    4	    4	   -1	   -3	   -3	   -1	    6	    2	   -1	   -2	   -2	    4	   -5	    1	   -2	    4	   -1	    3	   -6	    6	   -4	    2	    1	   -2	    3	   -5	    2	    3	
   -8	    8	   14	   10	    6	  -10	    3	   -8	    9	   -7	   -4	    7	   -5	    4	  -14	   -8	  -12	   -1	    5	    2	    5	   15	    6	    3	    2	   -1	   -4	   -4	    0	   -4	   -6	   -1	   -3	   -3	    3	   -2	    6	   -3	    5	    4	   -1	   -4	   -2	    0	    5	    2	   -1	   -2	   -2	    3	   -5	    0	   -2	    4	    0	    3	   -6	    5	   -5	    3	    2	   -1	    2	   -5	    2	    3	
   -9	    7	   13	    9	    6	  -11	    4	   -7	    9	   -7	   -3	    6	   -6	    4	  -14	   -8	  -11	   -1	    5	    2	    4	   15	    6	    3	    3	    0	   -3	   -3	    0	   -3	   -7	   -1	   -3	   -4	    2	   -2	    5	   -3	    4	    3	   -1	   -3	   -3	   -1	    6	    1	   -2	   -2	   -2	    4	   -5	    1	   -2	    4	    0	    3	   -6	    6	   -4	    2	    1	   -2	    3	   -5	    2	    3	
   -8	    8	   13	   10	    6	  -10	    4	   -8	    9	   -6	   -4	    7	   -5	    4	  -14	   -8	  -12	   -2	    4	    2	    5	   14	    6	    3	    2	   -1	   -4	   -4	    0	   -4	   -7	   -1	   -2	   -3	    2	   -1	    5	   -3	    4	    4	   -1	   -4	   -2	   -1	    6	    2	   -1	   -2	   -2	    3	   -6	    1	   -2	    4	   -1	    3	   -5	    5	   -4	    2	    1	   -1	    3	   -5	    2	    3	
   -8	    7	   13	    9	    5	  -10	    3	   -8	    9	   -6	   -3	    6	   -6	    4	  -14	   -7	  -11	   -1	    5	    2	    4	   15	    6	    3	    2	    0	   -4	   -3	    0	   -3	   -6	   -1	   -3	   -3	    3	   -2	    5	   -3	    4	    4	   -1	   -3	   -2	    0	    5	    1	   -1	   -2	   -2	    4	   -4	    0	   -2	    4	    0	    3	   -6	    5	   -5	    2	    2	   -1	    3	   -4	    2	    3	
   -8	    7	   13	   10	    6	  -10	    4	   -7	    9	   -7	   -4	    7	   -5	    4	  -13	   -8	  -11	   -1	    4	    2	    4	   14	    6	    3	    2	   -1	   -4	   -4	    0	   -4	   -7	   -1	   -3	   -3	    2	   -2	    5	   -2	    5	    4	   -1	   -4	   -3	   -1	    5	    2	   -1	   -2	   -2	    3	   -5	    1	   -2	    4	    0	    3	   -6	    6	   -4	    3	    1	   -2	    2	   -5	    2	    3	
   -8	    8	   13	    9	    6	  -10	    3	   -8	    8	   -6	   -3	    6	   -5	    4	  -14	   -7	  -11	   -1	    5	    1	    5	   14	    6	    4	    2	   -1	   -3	   -3	    0	   -3	   -6	   -1	   -2	   -3	    2	   -2	    5	   -3	    4	    3	   -1	   -3	   -2	    0	    6	    1	   -1	   -2	   -2	    3	   -5	    1	   -2	    4	   -1	    3	   -5	    5	   -4	    2	    1	   -1	    3	   -5	    2	    3	
   -8	    7	   13	    9	    5	   -9	    4	   -7	    9	   -6	   -4	    7	   -5	    4	  -13	   -8	  -11	   -2	    4	    2	    4	   14	    6	    3	    2	    0	   -4	   -3	    0	   -4	   -7	   -1	   -3	   -3	    3	   -2	    4	   -3	    4	    4	   -1	   -3	   -2	   -1	    5	    2	   -2	   -1	   -2	    4	   -5	    0	   -2	    4	    0	    3	   -6	    5	   -4	    2	    2	   -1	    3	   -4	    2	    3	
   -8	    7	   12	    9	    6	  -10	    3	   -7	    8	   -6	   -3	    6	   -5	    4	  -14	   -7	  -11	   -1	    5	    2	    4	   14	    6	    3	    2	   -1	   -4	   -4	    0	   -3	   -6	   -1	   -2	   -3	    2	   -2	    5	   -2	    4	    3	   -1	   -4	   -2	    0	    5	    1	   -1	   -2	   -2	    3	   -5	    1	   -2	    3	    0	    3	   -5	    5	   -4	    2	    1	   -2	    2	   -5	    1	    3	
   -7	    7	   12	    9	    5	   -9	    4	   -7	    9	   -6	   -3	    6	   -6	    4	  -13	   -7	  -11	   -1	    4	    2	    4	   14	    5	    3	    2	    0	   -3	   -3	    0	   -4	   -6	   -1	   -3	   -3	    2	   -1	    5	   -3	    4	    4	    0	   -3	   -3	   -1	    5	    2	   -1	   -2	   -2	    3	   -4	    1	   -2	    4	   -1	    2	   -5	    5	   -4	    2	    1	   -1	    3	   -5	    2	    3	
   -8	    7	   13	    9	    6	  -10	    3	   -8	    8	   -6	   -4	    6	   -5	    4	  -13	   -7	  -11	   -1	    4	    1	    5	   14	    6	    3	    2	   -1	   -4	   -3	   -1	   -3	   -6	   -1	   -2	   -3	    2	   -2	    5	   -2	    4	    3	   -1	   -3	   -2	   -1	    6	    1	   -1	   -2	   -2	    3	   -5	    0	   -2	    4	    0	    3	   -5	    5	   -4	    3	    1	   -1	    2	   -4	    2	    3	
   -8	    7	   12	    9	    5	   -9	    3	   -7	    8	   -6	   -3	    6	   -5	    4	  -13	   -7	  -10	   -1	    4	    2	    4	   13	    5	    2	    2	    0	   -3	   -3	    0	   -3	   -7	   -1	   -3	   -3	    3	   -2	    4	   -3	    4	    4	   -1	   -3	   -2	    0	    5	    1	   -1	   -2	   -1	    4	   -5	    1	   -1	    3	    0	    3	   -6	    5	   -4	    2	    2	   -2	    3	   -4	    2	    2	
   -7	    7	   12	    8	    5	   -9	    4	   -7	    9	   -6	   -3	    6	   -4	    3	  -12	   -7	  -11	   -2	    5	    2	    4	   13	    6	    3	    2	   -1	   -3	   -4	    0	   -4	   -6	   -1	   -2	   -3	    2	   -1	    5	   -2	    3	    3	   -1	   -4	   -2	   -1	    5	    2	   -1	   -1	   -2	    3	   -4	    0	   -2	    4	   -1	    2	   -5	    5	   -4	    2	    1	   -1	    2	   -5	    2	    3	
   -8	    6	   11	    9	    5	   -9	    3	   -7	    8	   -6	   -3	    6	   -5	    4	  -13	   -7	  -10	   -1	    4	    2	    4	   13	    5	    3	    2	   -1	   -4	   -3	    0	   -3	   -6	   -1	   -3	   -3	    2	   -2	    4	   -3	    4	    4	   -1	   -3	   -2	    0	    5	    1	   -1	   -2	   -2	    3	   -5	    1	   -2	    3	    0	    3	   -5	    5	   -4	    2	    1	   -1	    3	   -4	    2	    3	
