H1-O1 	H1-O2 	H1-O3 	H2-O1 	H2-O2 	H2-O3 	H3-O1 	H3-O2 	H3-O3 	H4-O1 	H4-O2 	H4-O3 	I1-H1 	I1-H2 	I1-H3 	I1-H4 	I2-H1 	I2-H2 	I2-H3 	I2-H4 	I3-H1 	I3-H2 	I3-H3 	I3-H4 	I4-H1 	I4-H2 	I4-H3 	I4-H4 	I5-H1 	I5-H2 	I5-H3 	I5-H4 	I6-H1 	I6-H2 	I6-H3 	I6-H4 	I7-H1 	I7-H2 	I7-H3 	I7-H4 	
 2286	  215	 2469	 -491	  145	 3771	-3414	 3276	-1877	 1845	-3071	-3141	 1549	  955	   65	 -950	-1979	 -622	  587	 -142	 1017	 1538	-1495	 -212	  -53	  728	 1506	 -839	-1827	-2357	 2496	 1041	  -21	-1711	-2079	 3274	   92	 -731	  744	   19	
 5587	 3578	 2638	-2096	-1657	 4979	-4898	 4548	-2678	 1731	-5133	-3965	 3965	 1324	 -228	-1663	-3593	   59	  696	 -228	 1444	 2439	-1680	  -82	-1919	 1441	 1790	 -247	-2153	-3001	 3540	 1031	  133	-2040	-3141	 4358	  916	-1917	 1334	  106	
 6506	 4366	 2807	-2429	-2230	 5429	-5252	 5011	-2976	 1862	-5772	-4286	 4436	 1510	 -236	-1862	-3891	   -1	  769	 -371	 1548	 2639	-1738	  -90	-2581	 1705	 1838	  -93	-2176	-3388	 3914	 1056	  328	-2156	-3399	 4657	  951	-2192	 1410	  154	
 7004	 4794	 2911	-2596	-2537	 5709	-5429	 5253	-3139	 1912	-6136	-4483	 4679	 1608	 -222	-1966	-4039	  -44	  805	 -441	 1594	 2752	-1761	  -90	-2911	 1841	 1844	  -19	-2193	-3604	 4107	 1075	  432	-2227	-3519	 4810	  984	-2330	 1438	  170	
 7341	 5085	 2985	-2708	-2742	 5913	-5546	 5415	-3249	 1938	-6388	-4627	 4840	 1672	 -209	-2034	-4133	  -75	  829	 -485	 1621	 2831	-1776	  -89	-3121	 1929	 1843	   26	-2208	-3750	 4231	 1090	  499	-2279	-3595	 4910	 1014	-2421	 1455	  176	
 7594	 5303	 3041	-2792	-2895	 6074	-5634	 5536	-3331	 1954	-6579	-4740	 4959	 1720	 -198	-2084	-4202	  -99	  846	 -516	 1639	 2891	-1786	  -87	-3273	 1994	 1841	   58	-2221	-3859	 4322	 1103	  548	-2319	-3650	 4984	 1039	-2488	 1468	  179	
 7796	 5477	 3087	-2859	-3017	 6207	-5704	 5633	-3397	 1965	-6734	-4835	 5052	 1758	 -189	-2123	-4255	 -119	  859	 -539	 1652	 2939	-1795	  -85	-3390	 2045	 1838	   82	-2232	-3946	 4392	 1114	  585	-2352	-3693	 5042	 1061	-2540	 1478	  180	
 7965	 5621	 3125	-2915	-3116	 6321	-5763	 5714	-3453	 1973	-6863	-4915	 5130	 1789	 -181	-2155	-4298	 -136	  871	 -558	 1662	 2980	-1802	  -84	-3485	 2087	 1836	  101	-2243	-4017	 4448	 1124	  615	-2380	-3728	 5090	 1080	-2584	 1487	  180	
 8109	 5744	 3158	-2963	-3200	 6420	-5813	 5784	-3500	 1979	-6974	-4985	 5195	 1816	 -174	-2182	-4334	 -150	  880	 -573	 1671	 3014	-1808	  -82	-3564	 2122	 1834	  116	-2252	-4077	 4496	 1132	  640	-2404	-3758	 5130	 1097	-2620	 1495	  179	
 8234	 5851	 3187	-3005	-3273	 6507	-5857	 5845	-3541	 1983	-7071	-5047	 5252	 1839	 -169	-2205	-4366	 -163	  888	 -585	 1677	 3045	-1813	  -81	-3632	 2152	 1833	  129	-2260	-4130	 4536	 1140	  662	-2425	-3783	 5165	 1112	-2652	 1502	  178	
 2286	  215	 2469	 -491	  145	 3771	-3414	 3276	-1877	 1845	-3071	-3141	 1549	  955	   65	 -950	-1979	 -622	  587	 -142	 1017	 1538	-1495	 -212	  -53	  728	 1506	 -839	-1827	-2357	 2496	 1041	  -21	-1711	-2079	 3274	   92	 -731	  744	   19	
 5587	 3578	 2638	-2096	-1657	 4979	-4898	 4548	-2678	 1731	-5133	-3965	 3965	 1324	 -228	-1663	-3593	   59	  696	 -228	 1444	 2439	-1680	  -82	-1919	 1441	 1790	 -247	-2153	-3001	 3540	 1031	  133	-2040	-3141	 4358	  916	-1917	 1334	  106	
 6506	 4366	 2807	-2429	-2230	 5429	-5252	 5011	-2976	 1862	-5772	-4286	 4436	 1510	 -236	-1862	-3891	   -1	  769	 -371	 1548	 2639	-1738	  -90	-2581	 1705	 1838	  -93	-2176	-3388	 3914	 1056	  328	-2156	-3399	 4657	  951	-2192	 1410	  154	
 7004	 4794	 2911	-2596	-2537	 5709	-5429	 5253	-3139	 1912	-6136	-4483	 4679	 1608	 -222	-1966	-4039	  -44	  805	 -441	 1594	 2752	-1761	  -90	-2911	 1841	 1844	  -19	-2193	-3604	 4107	 1075	  432	-2227	-3519	 4810	  984	-2330	 1438	  170	
 7341	 5085	 2985	-2708	-2742	 5913	-5546	 5415	-3249	 1938	-6388	-4627	 4840	 1672	 -209	-2034	-4133	  -75	  829	 -485	 1621	 2831	-1776	  -89	-3121	 1929	 1843	   26	-2208	-3750	 4231	 1090	  499	-2279	-3595	 4910	 1014	-2421	 1455	  176	
 7594	 5303	 3041	-2792	-2895	 6074	-5634	 5536	-3331	 1954	-6579	-4740	 4959	 1720	 -198	-2084	-4202	  -99	  846	 -516	 1639	 2891	-1786	  -87	-3273	 1994	 1841	   58	-2221	-3859	 4322	 1103	  548	-2319	-3650	 4984	 1039	-2488	 1468	  179	
 7796	 5477	 3087	-2859	-3017	 6207	-5704	 5633	-3397	 1965	-6734	-4835	 5052	 1758	 -189	-2123	-4255	 -119	  859	 -539	 1652	 2939	-1795	  -85	-3390	 2045	 1838	   82	-2232	-3946	 4392	 1114	  585	-2352	-3693	 5042	 1061	-2540	 1478	  180	
 7965	 5621	 3125	-2915	-3116	 6321	-5763	 5714	-3453	 1973	-6863	-4915	 5130	 1789	 -181	-2155	-4298	 -136	  871	 -558	 1662	 2980	-1802	  -84	-3485	 2087	 1836	  101	-2243	-4017	 4448	 1124	  615	-2380	-3728	 5090	 1080	-2584	 1487	  180	
 8109	 5744	 3158	-2963	-3200	 6420	-5813	 5784	-3500	 1979	-6974	-4985	 5195	 1816	 -174	-2182	-4334	 -150	  880	 -573	 1671	 3014	-1808	  -82	-3564	 2122	 1834	  116	-2252	-4077	 4496	 1132	  640	-2404	-3758	 5130	 1097	-2620	 1495	  179	
 8234	 5851	 3187	-3005	-3273	 6507	-5857	 5845	-3541	 1983	-7071	-5047	 5252	 1839	 -169	-2205	-4366	 -163	  888	 -585	 1677	 3045	-1813	  -81	-3632	 2152	 1833	  129	-2260	-4130	 4536	 1140	  662	-2425	-3783	 5165	 1112	-2652	 1502	  178	
